Timestamp,ASN,Trust_Score_Before,Trust_Score_After,Score_Change,Reason
2025-08-04 07:53:59,666,50.0,35.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:53:59,777,50.0,35.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:53:59,888,50.0,35.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:53:59,999,50.0,35.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,666,35.0,20.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,777,35.0,20.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,888,35.0,20.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,999,35.0,20.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,666,20.0,5.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,777,20.0,5.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,888,20.0,5.0,-15.0,Attack detected: prefix_hijacking
2025-08-04 07:54:00,999,20.0,5.0,-15.0,Attack detected: prefix_hijacking
